date_time,real_temp,real_humidity,real_winddir,real_windspd,station_id,forecast_tempC,forecast_humidity,season,forecast_windDirection,forecast_windSpeed,pm10,pm25,o3
2016-01-01 00:00:00,1.7,65.0,330.0,7.6,12,0,3,Winter,N,4.0,31.0,23.0,36.0
2016-01-01 01:00:00,0.0,74.0,350.0,16.6,12,0,3,Winter,N,3.0,33.0,27.0,17.0
2016-01-01 02:00:00,-2.0,80.0,,5.4,12,0,3,Winter,N,3.0,36.0,26.0,31.0
2016-01-01 03:00:00,1.7,65.0,360.0,7.6,12,0,3,Winter,N,3.0,20.0,11.0,27.0
2016-01-01 04:00:00,-2.0,86.0,20.0,7.6,12,0,3,Winter,N,3.0,12.0,12.0,24.0
2016-01-01 05:00:00,0.0,74.0,360.0,13.0,12,0,4,Winter,N,3.0,15.0,11.0,11.0
2016-01-01 06:00:00,1.2,69.0,340.0,7.6,12,0,4,Winter,N,3.0,18.0,14.0,20.0
2016-01-01 07:00:00,2.0,64.0,,5.4,12,0,3,Winter,SW,3.0,16.0,10.0,11.0
2016-01-01 08:00:00,4.0,56.0,330.0,14.8,12,0,2,Winter,ESE,2.0,18.0,9.0,12.0
2016-01-01 09:00:00,4.6,50.0,360.0,9.4,12,0,2,Winter,N,2.0,18.0,10.0,15.0
2016-01-01 10:00:00,6.0,42.0,350.0,18.4,12,1,2,Winter,ESE,2.0,12.0,10.0,22.0
2016-01-01 11:00:00,7.0,34.0,330.0,13.0,12,1,2,Winter,SW,2.0,16.0,13.0,27.0
2016-01-01 12:00:00,7.4,36.0,320.0,7.6,12,1,2,Winter,NNW,2.0,17.0,14.0,35.0
2016-01-01 13:00:00,7.0,31.0,20.0,7.6,12,1,2,Winter,WSW,2.0,13.0,11.0,40.0
2016-01-01 14:00:00,7.0,34.0,,5.4,12,1,2,Winter,SE,1.0,18.0,10.0,37.0
2016-01-01 15:00:00,5.0,48.0,50.0,3.6,12,1,2,Winter,NE,1.0,21.0,19.0,35.0
2016-01-01 16:00:00,5.0,42.0,,0.0,12,1,2,Winter,ENE,1.0,18.0,14.0,22.0
2016-01-01 17:00:00,2.0,60.0,,5.4,12,0,2,Winter,ESE,1.0,17.0,13.0,26.0
2016-01-01 18:00:00,4.4,46.0,80.0,5.4,12,0,2,Winter,SSE,1.0,29.0,21.0,11.0
2016-01-01 19:00:00,0.0,69.0,350.0,9.4,12,0,2,Winter,SSE,1.0,37.0,33.0,10.0
2016-01-01 20:00:00,-1.0,80.0,350.0,11.2,12,0,2,Winter,S,1.0,80.0,70.0,16.0
2016-01-01 21:00:00,4.0,65.0,90.0,3.6,12,0,2,Winter,S,2.0,139.0,127.0,18.0
2016-01-01 22:00:00,2.0,69.0,350.0,7.6,12,0,3,Winter,S,2.0,192.0,171.0,19.0
2016-01-01 23:00:00,2.0,69.0,340.0,7.6,12,0,3,Winter,SSW,2.0,193.0,177.0,8.0
2016-01-02 00:00:00,6.4,62.0,300.0,1.8,12,0,3,Winter,SSW,2.0,194.0,180.0,3.0
2016-01-02 01:00:00,3.0,65.0,350.0,7.6,12,0,4,Winter,S,2.0,131.0,122.0,7.0
2016-01-02 02:00:00,4.0,60.0,330.0,7.6,12,0,4,Winter,S,2.0,54.0,43.0,9.0
2016-01-02 03:00:00,6.2,69.0,350.0,3.6,12,1,4,Winter,SSE,1.0,49.0,49.0,17.0
2016-01-02 04:00:00,4.0,70.0,,5.4,12,1,4,Winter,SW,1.0,28.0,25.0,20.0
2016-01-02 05:00:00,4.0,81.0,350.0,7.6,12,1,4,Winter,WNW,1.0,20.0,20.0,16.0
2016-01-02 06:00:00,6.1,91.0,,1.8,12,1,4,Winter,NNW,1.0,27.0,23.0,14.0
2016-01-02 07:00:00,3.0,87.0,,0.0,12,1,4,Winter,WSW,1.0,28.0,24.0,9.0
2016-01-02 08:00:00,6.0,70.0,,0.0,12,1,4,Winter,SE,2.0,26.0,28.0,10.0
2016-01-02 09:00:00,8.6,73.0,,0.0,12,1,3,Winter,NE,2.0,27.0,26.0,15.0
2016-01-02 10:00:00,9.0,66.0,,0.0,12,1,3,Winter,NE,2.0,36.0,25.0,13.0
2016-01-02 11:00:00,11.0,54.0,,0.0,12,1,3,Winter,NNE,1.0,38.0,22.0,11.0
2016-01-02 12:00:00,10.0,66.0,180.0,0.0,12,1,2,Winter,NNE,1.0,35.0,23.0,9.0
2016-01-02 13:00:00,11.0,58.0,190.0,9.4,12,1,3,Winter,NE,1.0,26.0,24.0,9.0
2016-01-02 14:00:00,11.0,54.0,,0.0,12,1,3,Winter,ENE,1.0,24.0,21.0,9.0
2016-01-02 15:00:00,9.2,71.0,50.0,3.6,12,1,3,Winter,E,2.0,27.0,27.0,9.0
2016-01-02 16:00:00,9.0,62.0,80.0,7.6,12,1,4,Winter,E,2.0,36.0,29.0,5.0
2016-01-02 17:00:00,7.0,66.0,,0.0,12,1,4,Winter,E,2.0,28.0,28.0,8.0
2016-01-02 18:00:00,8.8,67.0,50.0,7.6,12,1,4,Winter,ESE,2.0,30.0,28.0,16.0
2016-01-02 19:00:00,4.0,75.0,,0.0,12,1,4,Winter,ESE,2.0,42.0,34.0,10.0
2016-01-02 20:00:00,4.0,75.0,350.0,11.2,12,1,4,Winter,ESE,2.0,55.0,39.0,9.0
2016-01-02 21:00:00,7.8,79.0,300.0,3.6,12,1,4,Winter,ESE,2.0,112.0,102.0,12.0
2016-01-02 22:00:00,4.0,75.0,,0.0,12,1,4,Winter,SE,2.0,150.0,134.0,14.0
2016-01-02 23:00:00,3.0,87.0,340.0,7.6,12,1,4,Winter,SE,2.0,209.0,183.0,13.0
2016-01-03 00:00:00,7.5,77.0,240.0,3.6,12,1,4,Winter,SE,1.0,205.0,191.0,10.0
2016-01-03 01:00:00,5.0,81.0,,0.0,12,1,4,Winter,SSE,2.0,200.0,177.0,7.0
2016-01-03 02:00:00,6.0,76.0,,0.0,12,1,4,Winter,SSE,2.0,161.0,147.0,6.0
2016-01-03 03:00:00,8.2,79.0,310.0,3.6,12,1,4,Winter,SSE,2.0,125.0,113.0,6.0
2016-01-03 04:00:00,6.0,81.0,,0.0,12,1,4,Winter,SSE,2.0,128.0,110.0,2.0
2016-01-03 05:00:00,7.0,81.0,,0.0,12,1,4,Winter,S,2.0,112.0,102.0,2.0
2016-01-03 06:00:00,8.9,90.0,,1.8,12,1,4,Winter,SSW,2.0,81.0,57.0,2.0
2016-01-03 07:00:00,7.0,81.0,,5.4,12,1,4,Winter,SSW,2.0,61.0,46.0,1.0
2016-01-03 08:00:00,10.0,71.0,,0.0,12,1,4,Winter,SSW,2.0,48.0,26.0,2.0
2016-01-03 09:00:00,13.2,80.0,360.0,5.4,12,2,4,Winter,SSW,2.0,53.0,35.0,3.0
2016-01-03 10:00:00,12.0,71.0,,0.0,12,2,4,Winter,SSW,3.0,44.0,35.0,4.0
2016-01-03 11:00:00,14.0,67.0,,5.4,12,2,4,Winter,SSW,3.0,53.0,33.0,3.0
2016-01-03 12:00:00,14.8,83.0,180.0,14.8,12,2,4,Winter,S,4.0,46.0,38.0,2.0
2016-01-03 13:00:00,14.0,77.0,,0.0,12,2,4,Winter,SSW,4.0,58.0,42.0,2.0
2016-01-03 14:00:00,13.0,94.0,,0.0,12,2,4,Winter,SSW,4.0,32.0,12.0,7.0
2016-01-03 15:00:00,14.5,90.0,170.0,13.0,12,2,4,Winter,SSW,4.0,27.0,11.0,4.0
2016-01-03 16:00:00,14.0,82.0,200.0,11.2,12,2,4,Winter,SSW,4.0,28.0,12.0,10.0
2016-01-03 17:00:00,12.0,88.0,,5.4,12,2,4,Winter,SSW,4.0,26.0,10.0,6.0
2016-01-03 18:00:00,12.9,89.0,360.0,9.4,12,2,4,Winter,SSW,3.0,28.0,17.0,1.0
2016-01-03 19:00:00,10.0,94.0,360.0,7.6,12,2,4,Winter,SW,3.0,19.0,9.0,1.0
2016-01-03 20:00:00,9.0,93.0,360.0,7.6,12,2,4,Winter,SW,3.0,28.0,19.0,2.0
2016-01-03 21:00:00,12.0,86.0,230.0,3.6,12,2,4,Winter,SW,3.0,29.0,21.0,3.0
2016-01-03 22:00:00,7.0,93.0,330.0,7.6,12,2,4,Winter,SW,3.0,24.0,17.0,2.0
2016-01-03 23:00:00,8.0,93.0,330.0,9.4,12,2,4,Winter,SW,3.0,34.0,30.0,2.0
2016-01-04 00:00:00,10.9,87.0,250.0,1.8,12,2,4,Winter,SW,2.0,50.0,43.0,3.0
2016-01-04 01:00:00,7.0,93.0,,0.0,12,2,4,Winter,SW,2.0,48.0,43.0,3.0
2016-01-04 02:00:00,6.0,93.0,300.0,7.6,12,2,4,Winter,SW,3.0,61.0,48.0,3.0
2016-01-04 03:00:00,10.3,90.0,250.0,3.6,12,2,4,Winter,SW,3.0,65.0,48.0,3.0
2016-01-04 04:00:00,8.0,93.0,310.0,9.4,12,2,4,Winter,SW,2.0,74.0,60.0,2.0
2016-01-04 05:00:00,8.0,87.0,40.0,7.6,12,1,4,Winter,WSW,2.0,66.0,49.0,2.0
